Task,DV,Variable,β,SE,t,p,p (Bonferroni-corrected),95% CI Lower (Bonf),95% CI Upper (Bonf),R²,N,Bonf Sig
Suicidal Ideation,F1 Score,Parameter Size (B),0.00757529866504411,0.0022846591299535072,3.315723805676984,0.0009140611761592998,0.010054672937752298,0.0010923569707591996,0.014058240359329021,0.3353323176742059,127,*
Suicidal Ideation,Accuracy,Intercept,0.10861662785426181,0.09387345902211075,1.1570536441900845,0.2472504441440052,1.0,-0.15775840967423477,0.37499166538275835,0.3448132416362756,127,
Suicidal Ideation,Accuracy,Family: LLaMA,-0.11132974337597415,0.06897043549912363,-1.6141661651156134,0.10649138884261489,1.0,-0.30704003823267595,0.08438055148072765,0.3448132416362756,127,
Suicidal Ideation,Accuracy,Family: Qwen,0.03145420425544002,0.06766841327156627,0.4648284588735411,0.6420543059762294,1.0,-0.16056147634776083,0.22346988485864086,0.3448132416362756,127,
Suicidal Ideation,Accuracy,Version: 2,0.21657165722415814,0.09280522315622526,2.333614961084556,0.019615892485898265,0.2157748173448809,-0.04677215750900596,0.4799154719573222,0.3448132416362756,127,
Suicidal Ideation,Accuracy,Version: 3,0.3508759681198902,0.086955977306167,4.035098897048515,5.4579303624120414e-05,0.0006003723398653245,0.10412995535390068,0.5976219808858797,0.3448132416362756,127,***
Suicidal Ideation,Accuracy,Version: 4,0.5005288556413766,0.14041649168370052,3.5646016336090938,0.00036440923040670945,0.004008501534473804,0.10208345231331106,0.8989742589694422,0.3448132416362756,127,**
Suicidal Ideation,Accuracy,Fine-Tune Type: Instruction-Tuned,0.25073759310864635,0.08841581557456707,2.8358907451029762,0.004569807588973627,0.0502678834787099,-0.00015085222115240882,0.5016260384384451,0.3448132416362756,127,
Suicidal Ideation,Accuracy,Fine-Tune Type: Medical-Tuned,0.1874121954006944,0.10760657764825453,1.7416425603024872,0.08157100917512493,0.8972811009263743,-0.11793189714643856,0.49275628794782733,0.3448132416362756,127,
Suicidal Ideation,Accuracy,Fine-Tune Type: Mental Health Tuned,0.1804315769835157,0.0836387661305139,2.1572721039662603,0.030984469240385146,0.3408291616442366,-0.056901527590857925,0.4177646815578893,0.3448132416362756,127,
Suicidal Ideation,Accuracy,Fine-Tune Type: Safety-Tuned,0.2933700054317935,0.12286352372589089,2.3877713786420727,0.016950882829077963,0.1864597111198576,-0.055267150206190274,0.6420071610697773,0.3448132416362756,127,
Suicidal Ideation,Accuracy,Parameter Size (B),0.006585779182237571,0.0021126691901259737,3.117278944104295,0.0018252877627222108,0.02007816538994432,0.0005908756102646568,0.012580682754210485,0.3448132416362756,127,*
Therapy Request,F1 Score,Intercept,-0.0490559144350423,0.09723179403035329,-0.5045254479180781,0.6138921840847147,1.0,-0.324960553015559,0.22684872414547436,0.4855765869772919,127,
Therapy Request,F1 Score,Family: LLaMA,-0.2176602376671233,0.06774687510246305,-3.2128454240572037,0.0013142700248355364,0.0144569702731909,-0.4098985613194608,-0.02542191401478583,0.4855765869772919,127,*
Therapy Request,F1 Score,Family: Qwen,0.031182400452886297,0.06937991098950015,0.44944422683974605,0.6531112330903748,1.0,-0.16568982079123407,0.2280546216970067,0.4855765869772919,127,
Therapy Request,F1 Score,Version: 2,0.26602748361616974,0.09274207752316704,2.8684658649113812,0.00412467703813795,0.045371447419517444,0.00286285073643755,0.5291921164959019,0.4855765869772919,127,*
Therapy Request,F1 Score,Version: 3,0.3780480868758417,0.08516429108405767,4.4390446050059404,9.03590901908969e-06,9.939499920998659e-05,0.13638615740267354,0.6197100163490098,0.4855765869772919,127,***
Therapy Request,F1 Score,Version: 4,0.6204807205947875,0.13899909086514153,4.463919272657581,8.047389458527146e-06,8.85212840437986e-05,0.22605732945386897,1.014904111735706,0.4855765869772919,127,***
Therapy Request,F1 Score,Fine-Tune Type: Instruction-Tuned,0.3472345172844193,0.0857409415733512,4.04980993808379,5.12592474501645e-05,0.0005638517219518095,0.10393628616298428,0.5905327484058542,0.4855765869772919,127,***
