Task,DV,Variable,β,SE,t,p,p (Bonferroni-corrected),95% CI Lower (Bonf),95% CI Upper (Bonf),R²,N,Bonf Sig
Suicidal Ideation,F1 Score,Parameter Size (B),0.007558216769100734,0.002292894343477919,3.296365046474947,0.000979446582594605,0.010773912408540656,0.0010519068583415194,0.014064526679859949,0.3132053711014601,127,*
Suicidal Ideation,Accuracy,Intercept,0.10174394477887146,0.09394581695453673,1.0830066529530364,0.2788054700413134,1.0,-0.16483641539530408,0.36832430495304697,0.32720364003795943,127,
Suicidal Ideation,Accuracy,Family: LLaMA,-0.09950174779340189,0.07080941394453495,-1.4052050744459155,0.15996030563791674,1.0,-0.300430322209773,0.10142682662296924,0.32720364003795943,127,
Suicidal Ideation,Accuracy,Family: Qwen,0.043496515523045794,0.07007833465056874,0.6206842063232846,0.5348074230088686,1.0,-0.15535755054564973,0.2423505815917413,0.32720364003795943,127,
Suicidal Ideation,Accuracy,Version: 2,0.22727374443611748,0.09327539090319932,2.436588496015856,0.014826541054711234,0.16309195160182358,-0.03740421684442591,0.49195170571666086,0.32720364003795943,127,
Suicidal Ideation,Accuracy,Version: 3,0.34408004262397507,0.08701514369957623,3.954254719292623,7.67735855445708e-05,0.0008445094409902788,0.0971661394826975,0.5909939457652527,0.32720364003795943,127,***
Suicidal Ideation,Accuracy,Version: 4,0.5074454719086245,0.14063660507777898,3.608203366598491,0.0003083247712361423,0.003391572483597565,0.1083754754930244,0.9065154683242247,0.32720364003795943,127,**
Suicidal Ideation,Accuracy,Fine-Tune Type: Instruction-Tuned,0.25054800166545305,0.08847882928686994,2.8317282640925927,0.004629717511376699,0.05092689262514369,-0.000519251179849467,0.5016152545107555,0.32720364003795943,127,
Suicidal Ideation,Accuracy,Fine-Tune Type: Medical-Tuned,0.18607663608572422,0.10818732012229709,1.7199486582658625,0.0854417745849625,0.9398595204345874,-0.12091536951296727,0.4930686416844157,0.32720364003795943,127,
Suicidal Ideation,Accuracy,Fine-Tune Type: Mental Health Tuned,0.18196167447694092,0.0834896180720901,2.179452711351775,0.029298053980430238,0.3222785937847326,-0.05494820802727776,0.41887155698115963,0.32720364003795943,127,
Suicidal Ideation,Accuracy,Fine-Tune Type: Safety-Tuned,0.2459857494884326,0.14665535939773275,1.6773048765392442,0.09348287947251428,1.0,-0.17016304560523549,0.6621345445821007,0.32720364003795943,127,
Suicidal Ideation,Accuracy,Parameter Size (B),0.006545560565972235,0.0021101580454992814,3.1019290616326796,0.0019226402545125454,0.021149042799637998,0.0005577826102399781,0.012533338521704492,0.32720364003795943,127,*
Therapy Request,F1 Score,Intercept,-0.036420621813843444,0.09872306010959103,-0.36891706733374596,0.712189541406592,1.0,-0.3165568724171829,0.243715628789496,0.45515530857243913,127,
Therapy Request,F1 Score,Family: LLaMA,-0.24127121965619638,0.06990648048305728,-3.4513426793767925,0.0005578048444548379,0.006135853289003217,-0.4396376328696848,-0.042904806442707916,0.45515530857243913,127,**
Therapy Request,F1 Score,Family: Qwen,-0.03443207086452638,0.07259719032468666,-0.4742893039046136,0.6352936178786799,1.0,-0.24043363401824983,0.17156949228919707,0.45515530857243913,127,
Therapy Request,F1 Score,Version: 2,0.3090020487901709,0.09375192257801226,3.2959542619837587,0.0009808798306102132,0.010789678136712345,0.04297188270025837,0.5750322148800835,0.45515530857243913,127,*
Therapy Request,F1 Score,Version: 3,0.35178549000930326,0.08655283356212978,4.064401770934315,4.815581388548309e-05,0.0005297139527403141,0.10618343668686636,0.5973875433317402,0.45515530857243913,127,***
Therapy Request,F1 Score,Version: 4,0.5918221810960196,0.13901817454135995,4.25715690087661,2.0704305500797505e-05,0.00022774736050877256,0.19734463817437597,0.9862997240176632,0.45515530857243913,127,***
Therapy Request,F1 Score,Fine-Tune Type: Instruction-Tuned,0.36747686587908057,0.08534672946083727,4.30569358896996,1.664633409147511e-05,0.0001831096750062262,0.12529724983116017,0.609656481927001,0.45515530857243913,127,***
Therapy Request,F1 Score,Fine-Tune Type: Medical-Tuned,0.3249200376077363,0.10388729059529252,3.127620671844334,0.0017622746109164015,0.019385020720080418,0.03012978252044013,0.6197102926950324,0.45515530857243913,127,*
Therapy Request,F1 Score,Fine-Tune Type: Mental Health Tuned,0.1626297708728332,0.08030753332995907,2.025087362659207,0.042858394318294336,0.4714423375012377,-0.06525063779038898,0.3905101795360554,0.45515530857243913,127,
Therapy Request,F1 Score,Fine-Tune Type: Safety-Tuned,-0.022599550528426153,0.1595642129728935,-0.14163295207218757,0.8873699373111714,1.0,-0.47537846867661376,0.43017936761976144,0.45515530857243913,127,
Therapy Request,F1 Score,Parameter Size (B),0.007115558355543901,0.00195770470481957,3.634643334118002,0.00027836546473207344,0.003062020112052808,0.0015603815286923603,0.012670735182395441,0.45515530857243913,127,**
Therapy Request,Accuracy,Intercept,-0.037750667104310284,0.09192105737581976,-0.41068573602201364,0.6813029874951384,1.0,-0.2985855757484652,0.22308424153984463,0.42241230349002634,127,
Therapy Request,Accuracy,Family: LLaMA,-0.16787262286065668,0.06980678416485434,-2.404818168735749,0.01618051435020811,0.1779856578522892,-0.3659561381093806,0.030210892388067234,0.42241230349002634,127,
Therapy Request,Accuracy,Family: Qwen,0.028628989420399188,0.0707673384454081,0.40455088532804423,0.6858076669585698,1.0,-0.17218019168953902,0.22943817053033738,0.42241230349002634,127,
Therapy Request,Accuracy,Version: 2,0.2954374670803649,0.08918917178985995,3.312481337717205,0.0009247229534242672,0.01017195248766694,0.04235454854144516,0.5485203856192846,0.42241230349002634,127,*
Therapy Request,Accuracy,Version: 3,0.3647449166226776,0.08540024925696793,4.271005293265201,1.945937889996036e-05,0.00021405316789956395,0.12241343296647544,0.6070764002788798,0.42241230349002634,127,***
Therapy Request,Accuracy,Version: 4,0.5824727655239073,0.13893402679856331,4.192441397875977,2.7596838366072224e-05,0.00030356522202679446,0.1882339999774546,0.9767115310703599,0.42241230349002634,127,***
Therapy Request,Accuracy,Fine-Tune Type: Instruction-Tuned,0.403779247240343,0.08228845751302251,4.906875878387235,9.253855350524273e-07,1.01792408855767e-05,0.17027777423048432,0.6372807202502017,0.42241230349002634,127,***
Therapy Request,Accuracy,Fine-Tune Type: Medical-Tuned,0.32629801086466365,0.10342098983281353,3.1550462956518275,0.0016047263944363116,0.01765199033879943,0.03283092938148119,0.6197650923478462,0.42241230349002634,127,*
