task,model_family,model_size,parse_success_rate,sensitivity,specificity,accuracy,f1_score
therapy_engagement,gemma2,9b-pt,0.9928571428571428,0.9714285714285714,0.8892857142857142,0.9166666666666666,0.8859934853420196
suicidal_ideation,gemma3n,2b-it,1.0,0.7555555555555555,0.9644444444444444,0.86,0.8436724565756825
therapy_engagement,gemma3n,2b-it,1.0,0.9571428571428572,0.9464285714285714,0.95,0.9273356401384084
therapy_request,gemma3n,2b-it,1.0,0.8615384615384616,0.9807692307692308,0.941025641025641,0.9068825910931174
therapy_engagement,gemma3n,2b-pt,0.988095238095238,0.9714285714285714,0.3285714285714285,0.5428571428571428,0.5862068965517241
suicidal_ideation,gemma3n,4b-it,1.0,0.8977777777777778,0.9688888888888888,0.9333333333333332,0.9308755760368664
therapy_engagement,gemma3n,4b-it,1.0,0.9142857142857144,0.9928571428571428,0.9666666666666668,0.9481481481481482
therapy_request,gemma3n,4b-it,1.0,0.9923076923076924,0.9192307692307692,0.9435897435897436,0.9214285714285716
suicidal_ideation,gemma3n,4b-medical,1.0,0.8577777777777778,0.9777777777777776,0.9177777777777778,0.912529550827423
therapy_engagement,gemma3n,4b-medical,1.0,0.9285714285714286,0.9535714285714286,0.9452380952380952,0.9187279151943464
therapy_request,gemma3n,4b-medical,1.0,0.9692307692307692,0.9788461538461538,0.9756410256410256,0.9636711281070748
suicidal_ideation,gemma3n,4b-mentis,1.0,0.9155555555555556,0.9733333333333334,0.9444444444444444,0.94279176201373
therapy_engagement,gemma3n,4b-mentis,1.0,0.9928571428571428,0.9964285714285714,0.9952380952380953,0.9928571428571428
therapy_request,gemma3n,4b-mentis,1.0,0.9884615384615384,0.9769230769230768,0.9807692307692308,0.9716446124763706
suicidal_ideation,gemma3n,4b-pt-google,1.0,0.8977777777777778,0.9688888888888888,0.9333333333333332,0.9308755760368664
therapy_engagement,gemma3n,4b-pt-google,1.0,0.9142857142857144,0.9928571428571428,0.9666666666666668,0.9481481481481482
therapy_request,gemma3n,4b-pt-google,1.0,0.9923076923076924,0.921153846153846,0.9448717948717948,0.9230769230769232
suicidal_ideation,gemma_therapy,12b-therapist,0.9844444444444445,0.7866666666666666,0.96,0.8733333333333333,0.8613138686131386
therapy_engagement,gemma_therapy,12b-therapist,0.9761904761904762,0.8142857142857143,0.9785714285714284,0.923809523809524,0.8769230769230769
therapy_request,gemma_therapy,12b-therapist,0.9974358974358974,0.8346153846153846,0.9980769230769232,0.9435897435897436,0.9079497907949792
suicidal_ideation,gemma_therapy,1b-emotional,0.9888888888888888,0.8177777777777778,0.8577777777777778,0.8377777777777777,0.8344671201814059
therapy_engagement,gemma_therapy,1b-emotional,0.9976190476190476,0.8428571428571429,0.5928571428571429,0.6761904761904762,0.6344086021505376
therapy_request,gemma_therapy,1b-emotional,0.9884615384615384,0.3692307692307692,0.8442307692307692,0.6858974358974359,0.4393592677345538
suicidal_ideation,gemma_therapy,4.5b-trauma,1.0,0.9422222222222222,0.9555555555555556,0.9488888888888888,0.9485458612975392
therapy_engagement,gemma_therapy,4.5b-trauma,1.0,0.9928571428571428,0.7178571428571429,0.8095238095238095,0.776536312849162
therapy_request,gemma_therapy,4.5b-trauma,0.9769230769230768,0.8115384615384615,0.9519230769230768,0.9051282051282052,0.8508064516129032
therapy_engagement,gemma_therapy,9b-ataraxy,1.0,0.7071428571428572,0.9821428571428572,0.8904761904761904,0.8114754098360657
therapy_request,gemma_therapy,9b-ataraxy,0.6974358974358974,0.8192307692307692,0.6096153846153847,0.6794871794871795,0.6301775147928994
therapy_engagement,gemma_therapy,9b-psy10k,1.0,0.6928571428571428,0.9785714285714284,0.8833333333333333,0.7983539094650205
therapy_request,gemma_therapy,9b-psy10k,0.5807692307692308,0.6576923076923077,0.5307692307692308,0.573076923076923,0.5066666666666666
suicidal_ideation,llama1,13b,0.8266666666666667,0.1511111111111111,0.6666666666666666,0.4088888888888889,0.2035928143712575
therapy_request,llama1,13b,0.7128205128205128,0.7615384615384615,0.0057692307692307,0.2576923076923076,0.4061538461538462
suicidal_ideation,llama1,30b,0.6911111111111111,0.7777777777777778,0.4,0.5888888888888889,0.6542056074766356
therapy_request,llama1,30b,0.7782051282051282,0.7346153846153847,0.4423076923076923,0.5397435897435897,0.5155195681511471
suicidal_ideation,llama1,7b,0.8288888888888889,0.8844444444444445,0.3022222222222222,0.5933333333333334,0.6850258175559382
therapy_request,llama1,7b,0.5307692307692308,0.5384615384615384,0.0038461538461538,0.182051282051282,0.3050108932461873
therapy_engagement,llama2,13b-it,0.9976190476190476,0.9285714285714286,0.875,0.8928571428571429,0.8524590163934426
therapy_engagement,llama2,13b-pt,0.7142857142857143,0.8285714285714286,0.3892857142857143,0.5357142857142857,0.5433255269320844
therapy_request,llama2,13b-pt,0.708974358974359,0.4423076923076923,0.0057692307692307,0.1512820512820512,0.257847533632287
suicidal_ideation,llama2,70b-it,0.9088888888888887,0.8355555555555556,0.7822222222222223,0.8088888888888889,0.8138528138528138
therapy_engagement,llama2,70b-it,0.5976190476190476,0.4857142857142857,0.5464285714285714,0.5261904761904762,0.4059701492537313
therapy_request,llama2,70b-it,0.9743589743589745,0.9653846153846154,0.7346153846153847,0.8115384615384615,0.7734976887519261
suicidal_ideation,llama2,70b-pt,0.9222222222222224,0.9777777777777776,0.6533333333333333,0.8155555555555556,0.8413001912045889
therapy_engagement,llama2,70b-pt,1.0,1.0,0.7357142857142858,0.8238095238095238,0.7909604519774012
therapy_request,llama2,70b-pt,0.8807692307692307,0.8769230769230769,0.2557692307692307,0.4628205128205128,0.5211428571428571
suicidal_ideation,llama2,7b-it,0.7888888888888889,0.4622222222222222,0.6311111111111111,0.5466666666666666,0.5048543689320388
therapy_engagement,llama2,7b-it,0.580952380952381,0.3142857142857143,0.425,0.3880952380952381,0.2550724637681159
therapy_request,llama2,7b-it,0.6538461538461539,0.1846153846153846,0.6192307692307693,0.4743589743589743,0.1897233201581027
suicidal_ideation,llama3,8b-it,0.9466666666666668,0.88,0.8844444444444445,0.8822222222222222,0.8819599109131402
therapy_engagement,llama3,8b-it,0.8238095238095238,0.8857142857142857,0.6107142857142858,0.7023809523809523,0.6648793565683645
therapy_request,llama3,8b-it,0.9217948717948716,0.5846153846153846,0.8980769230769231,0.7935897435897435,0.6537634408602151
suicidal_ideation,llama3.1,70b-it,1.0,0.9688888888888888,0.96,0.9644444444444444,0.9646017699115046
therapy_engagement,llama3.1,70b-it,1.0,0.7857142857142857,0.9892857142857144,0.9214285714285714,0.8695652173913043
therapy_request,llama3.1,70b-it,1.0,0.926923076923077,1.0,0.9756410256410256,0.9620758483033932
suicidal_ideation,llama3.1,8b-it,1.0,0.8577777777777778,0.9777777777777776,0.9177777777777778,0.912529550827423
therapy_engagement,llama3.1,8b-it,0.9976190476190476,0.8142857142857143,0.9892857142857144,0.930952380952381,0.88715953307393
therapy_request,llama3.1,8b-it,1.0,0.5884615384615385,0.9826923076923076,0.8512820512820513,0.7251184834123223
suicidal_ideation,llama3.1,8b-pt,0.6688888888888889,0.76,0.4177777777777778,0.5888888888888889,0.6489563567362429
therapy_engagement,llama3.1,8b-pt,1.0,0.9857142857142858,0.6928571428571428,0.7904761904761904,0.7582417582417583
therapy_request,llama3.1,8b-pt,0.5205128205128206,0.3307692307692307,0.5076923076923077,0.4487179487179487,0.2857142857142857
suicidal_ideation,llama3.2,1b-it,0.8911111111111111,0.0266666666666666,0.8888888888888888,0.4577777777777778,0.046875
therapy_engagement,llama3.2,1b-it,0.9952380952380953,0.9928571428571428,0.4428571428571428,0.6261904761904762,0.6390804597701151
suicidal_ideation,llama3.2,1b-pt,0.5133333333333333,0.2177777777777777,0.3288888888888889,0.2733333333333333,0.2305882352941176
suicidal_ideation,llama3.2,3b-it,0.9688888888888888,0.7822222222222223,0.9377777777777778,0.86,0.8481927710843374
therapy_engagement,llama3.2,3b-it,1.0,0.9642857142857144,0.75,0.8214285714285714,0.782608695652174
therapy_request,llama3.2,3b-it,0.6448717948717949,0.5346153846153846,0.5769230769230769,0.5628205128205128,0.4491114701130856
suicidal_ideation,llama3.2,3b-pt,0.6755555555555556,0.3111111111111111,0.4622222222222222,0.3866666666666666,0.3365384615384615
therapy_engagement,llama3.2,3b-pt,1.0,0.8142857142857143,0.8714285714285714,0.8523809523809524,0.7862068965517242
suicidal_ideation,llama3.3,70b,1.0,0.9777777777777776,0.9511111111111112,0.9644444444444444,0.9649122807017544
therapy_engagement,llama3.3,70b,1.0,0.75,0.9892857142857144,0.9095238095238096,0.846774193548387
therapy_request,llama3.3,70b,1.0,0.9923076923076924,0.9884615384615384,0.9897435897435898,0.9847328244274808
suicidal_ideation,llama_guard,1b,1.0,0.4977777777777777,0.9911111111111112,0.7444444444444445,0.6607669616519174
therapy_engagement,llama_guard,1b,1.0,0.0071428571428571,1.0,0.669047619047619,0.0141843971631205
therapy_request,llama_guard,1b,1.0,0.0115384615384615,0.9942307692307693,0.6666666666666666,0.0225563909774436
suicidal_ideation,llama_guard,8b,1.0,0.6711111111111111,1.0,0.8355555555555556,0.803191489361702
therapy_engagement,llama_guard,8b,1.0,0.0142857142857142,1.0,0.6714285714285714,0.028169014084507
therapy_request,llama_guard,8b,1.0,0.2769230769230769,1.0,0.7589743589743589,0.4337349397590362
suicidal_ideation,llama_medical,70b-med42,0.9911111111111112,0.9688888888888888,0.9288888888888888,0.9488888888888888,0.9498910675381264
therapy_engagement,llama_medical,70b-med42,0.9523809523809524,0.9357142857142856,0.8928571428571429,0.9071428571428573,0.8704318936877076
therapy_request,llama_medical,70b-med42,0.9935897435897436,0.9923076923076924,0.8903846153846153,0.9243589743589744,0.8973913043478261
suicidal_ideation,llama_medical,70b-meditron,0.9111111111111112,0.9911111111111112,0.6533333333333333,0.8222222222222222,0.8479087452471482
therapy_engagement,llama_medical,70b-meditron,1.0,0.9857142857142858,0.8214285714285714,0.8761904761904762,0.8414634146341464
therapy_request,llama_medical,70b-meditron,0.6653846153846154,0.7615384615384615,0.4173076923076923,0.532051282051282,0.5203679369250985
suicidal_ideation,llama_medical,8b-med42,0.9622222222222222,0.7511111111111111,0.96,0.8555555555555555,0.8387096774193549
therapy_engagement,llama_medical,8b-med42,0.8452380952380952,0.95,0.6571428571428571,0.7547619047619047,0.7208672086720866
therapy_request,llama_medical,8b-med42,0.8743589743589744,0.676923076923077,0.8057692307692308,0.7628205128205128,0.6554934823091249
suicidal_ideation,llama_mental_health,13b-mentallama,0.6088888888888889,0.72,0.3244444444444444,0.5222222222222223,0.601113172541744
therapy_engagement,llama_mental_health,13b-mentallama,0.9071428571428573,0.6857142857142857,0.8214285714285714,0.7761904761904762,0.6713286713286712
therapy_engagement,llama_mental_health,1b-companion,0.680952380952381,0.8714285714285714,0.1892857142857142,0.4166666666666667,0.4989775051124745
therapy_engagement,llama_mental_health,1b-mental-health,0.8142857142857143,0.7285714285714285,0.5642857142857143,0.6190476190476191,0.5604395604395604
therapy_engagement,llama_mental_health,3b-chatbot-v2,1.0,0.8071428571428572,0.6678571428571428,0.7142857142857143,0.653179190751445
suicidal_ideation,llama_mental_health,3b-kenko,0.7088888888888889,0.3466666666666667,0.8533333333333334,0.6,0.4642857142857143
therapy_engagement,llama_mental_health,3b-kenko,1.0,0.8928571428571429,0.6857142857142857,0.7547619047619047,0.7082152974504249
therapy_request,llama_mental_health,3b-kenko,0.8448717948717949,0.1653846153846153,0.9153846153846154,0.6653846153846154,0.2478386167146973
suicidal_ideation,llama_mental_health,3b-mental-health-chatbot,0.8733333333333333,0.7155555555555555,0.84,0.7777777777777778,0.7630331753554502
therapy_engagement,llama_mental_health,3b-mental-health-chatbot,1.0,0.9428571428571428,0.7428571428571429,0.8095238095238095,0.7674418604651163
