Task,DV,Variable,β,SE,t,p,p (Bonferroni-corrected),95% CI Lower (Bonf),95% CI Upper (Bonf),R²,N,Bonf Sig
Therapy Engagement,F1 Score,Version: 4,0.4431107210763674,0.12547200486909338,3.5315504963730415,0.00041313097392222216,0.004544440713144444,0.08707174739896018,0.7991496947537746,0.383358229983898,99,**
Therapy Engagement,F1 Score,Fine-Tune Type: Instruction-Tuned,0.07232741550405965,0.09905481969503552,0.7301756312992874,0.46528283600587805,1.0,-0.20875023507477664,0.3534050660828959,0.383358229983898,99,
Therapy Engagement,F1 Score,Fine-Tune Type: Medical-Tuned,0.12703438891995034,0.0995905992371015,1.2755660664066466,0.20210895593092382,1.0,-0.15556358803347076,0.40963236587337143,0.383358229983898,99,
Therapy Engagement,F1 Score,Fine-Tune Type: Mental Health Tuned,0.053515113254347796,0.09689879090468664,0.5522784418124196,0.5807575984593676,1.0,-0.22144459668477653,0.3284748231934721,0.383358229983898,99,
Therapy Engagement,F1 Score,Fine-Tune Type: Safety-Tuned,-0.36181433855363243,0.17583711173986794,-2.0576676616987304,0.03962204667497322,0.43584251342470537,-0.8607691840076335,0.1371405069003686,0.383358229983898,99,
Therapy Engagement,F1 Score,Parameter Size (B),0.0036211195183653575,0.0016239978757573688,2.229756314599001,0.025763625021205175,0.28339987523325694,-0.0009871318405110206,0.008229370877241736,0.383358229983898,99,
Therapy Engagement,Accuracy,Intercept,0.5551604973632702,0.09009931535696551,6.161650564865821,7.199057475440224e-10,7.918963222984247e-09,0.2994949582479961,0.8108260364785443,0.24928499058547593,99,***
Therapy Engagement,Accuracy,Family: LLaMA,-0.04833943766616782,0.048951100327184735,-0.9875046187536416,0.3233953197747831,1.0,-0.18724292883978885,0.0905640535074532,0.24928499058547593,99,
Therapy Engagement,Accuracy,Family: Qwen,0.0328365746223858,0.04874115726297262,0.6736929622992536,0.5005065371011573,1.0,-0.10547118276033297,0.1711443320051046,0.24928499058547593,99,
Therapy Engagement,Accuracy,Version: 2,0.1375108999564701,0.07478459633331666,1.838759673764646,0.06595054201139197,0.7254559621253117,-0.07469763973469654,0.34971943964763674,0.24928499058547593,99,
Therapy Engagement,Accuracy,Version: 3,0.18937255306239575,0.07027907094848854,2.6945796309856953,0.007047748380993785,0.07752523219093163,-0.01005112170559272,0.38879622783038426,0.24928499058547593,99,
Therapy Engagement,Accuracy,Version: 4,0.28199665754157077,0.09433899335338325,2.9891845091588274,0.0027972315824338076,0.030769547406771885,0.014300621231785993,0.5496926938513556,0.24928499058547593,99,*
Therapy Engagement,Accuracy,Fine-Tune Type: Instruction-Tuned,0.02771420067285964,0.06988715123534527,0.39655645112120763,0.6916945718045147,1.0,-0.17059736392699165,0.22602576527271095,0.24928499058547593,99,
Therapy Engagement,Accuracy,Fine-Tune Type: Medical-Tuned,0.07132446424057587,0.06463592655157614,1.1034801858013534,0.2698186915527415,1.0,-0.11208624140743798,0.2547351698885897,0.24928499058547593,99,
Therapy Engagement,Accuracy,Fine-Tune Type: Mental Health Tuned,0.03423167358225726,0.06547915396457755,0.5227873530677514,0.6011222415068229,1.0,-0.15157177156979895,0.22003511873431347,0.24928499058547593,99,
Therapy Engagement,Accuracy,Fine-Tune Type: Safety-Tuned,-0.0510895959825251,0.08901467609782557,-0.5739457606561251,0.5660045055314715,1.0,-0.30367736608440604,0.20149817411935583,0.24928499058547593,99,
Therapy Engagement,Accuracy,Parameter Size (B),0.002940977593814565,0.001133995396710405,2.5934651960193267,0.009501415538773556,0.10451557092650912,-0.0002768442431833459,0.0061587994308124755,0.24928499058547593,99,
